event_name,Lamp5,Pvalb,Serpinf1,Sncg,Sst,Vip,cpm,fi_fit_slope,hero_adapt,hero_avg_rate,hero_first_isi,hero_isi_cv,hero_latency,hero_mean_isi,hero_median_isi,hero_stim_amp,input_resistance,rheo_fast_trough_t,rheo_fast_trough_v,rheo_peak_t,rheo_peak_v,rheo_threshold_v,rheo_trough_t,rheo_trough_v,rheo_upstroke_downstroke_ratio,rheo_width,rheobase_i,sag,soma_depth,subclass,tau,v_baseline,vm_for_sag
Kcnma1_14_23350114_-,0.9243300189843232,0.08303044739030588,1.0,0.2851897676447626,0.8244302625847653,0.07632226093546947,0.32897054388768576,0.8022565258467494,0.9870841690274079,0.9774741730622902,0.3228558413630771,0.8753916225688209,0.47868363862915564,0.5528092608100229,0.35581173251950454,0.13929018167677407,0.5583669342780413,0.5918194753938448,0.9215869051153067,0.5990623236766218,0.270263819990421,0.5911739998123853,0.7044362498332721,0.948030904574817,0.05073948001994267,0.1571950628179886,0.13285089086458224,0.968956952316184,0.9452054370325029,0.0015841202128507408,0.6211909771298401,0.8110381026298704,0.8163878219349675
Mcoln1_8_3560539_+,0.0515829759546478,0.49864780547390214,0.973498433214512,0.7547396991628267,0.2161736768882316,0.730517083430516,0.423555470696473,0.7632634413789936,0.3934810839798605,0.9449644894338958,0.2510429309834496,0.786323205438243,0.9803955153350501,0.8971576001959088,0.8308697776884142,0.18027404816076442,0.12980437631513042,0.7005560298529786,0.9835238298021303,0.705448930701842,0.9586914358384163,0.09464634756694577,0.6904014382634577,0.986122926158648,0.7571010589915149,0.8240855352411639,0.1749919320574458,0.8801251695782877,0.8883796820224723,0.005479064053427622,0.1362615214241658,0.8482767560460057,0.549641416321387
Kcnma1_14_23559969_-,0.336493151969126,0.4138693128928974,0.585914083451624,0.8997058998359183,0.38640382754644387,0.8463585894380178,0.8627964311584754,0.5200412159837621,0.890626674894592,0.9482111019228064,0.9350028350968461,0.8421644700864246,0.665507466648629,0.9976739874495865,0.7108740643193501,0.7138403663517373,0.6992555806356614,0.7138403663517373,0.8504568639459393,0.7152768507226038,0.7512293611586348,0.8272092550463351,0.6862078081556613,0.8464718234263516,0.8566914315647958,0.7325842479824088,0.7000924521585836,0.6334908642346334,0.5673834607123506,0.03763179587024725,0.1767794479877662,0.4933574194339654,0.9951416015565729
Gria4_9_4793969_-,0.7475426056865586,0.8737754007989055,0.8343822006540074,0.9535647705470914,0.09860730896949504,0.05789632450525331,0.5361487905691374,0.9111186096277143,0.9715041959226929,0.843741621161224,0.8544216245493254,0.7863163857798436,0.8737270216352719,0.6879322136518142,0.9811151027431007,0.943428008120068,0.8048075217950387,0.8057196205930807,0.834218009169989,0.8094688160442088,0.8846698539394013,1.0,0.8730641822609182,0.9318817209531126,0.6000404442731047,0.6868056415597729,0.9381463572739003,0.6947493136755003,0.9172456011859176,0.00962950642079744,0.946009356361091,0.890067443230914,0.8831933726016852
Mcoln1_8_3564782_+,0.975555574853814,0.9406135898107264,0.8509511456502703,0.6528426941123264,0.739848588980275,0.22797599013314207,0.7674668993282688,0.9059786322472505,0.9684040698578777,0.9085373894397573,0.241291133772995,0.9021650886133218,0.8914383872405212,0.7904764942424252,0.699904467801298,0.8086530690776114,0.8238540031977657,0.7294370439199371,0.6563612531100295,0.7314270589500484,0.6981172041489531,0.6667660828109138,0.7660989862555415,0.7511145234236672,0.8874049682083791,0.668211531159915,0.8540698767513553,0.8258486670385862,0.13436028659329058,0.046040854020166104,0.9999029517356347,0.80665847142446,0.34004618055914554
Gria3_X_40765216_+,0.43438736843240916,0.6857323475194409,0.9247666092696376,0.8968649266456362,0.2762569386259173,0.23497187318990584,0.6605411944891186,0.8408173139478351,0.7524630634014213,0.8388010655907165,0.6061481655700476,0.8754844799262155,0.9641173513562803,0.9174348449983516,0.8273472395303754,0.9675161235185962,0.9958142401295864,0.987832929795965,0.6584670509240859,0.9882662266257355,0.9353275894335988,0.5492846007448569,0.9273621904299357,0.7289716179763025,0.505912635470462,0.6653315531018911,0.9704510997446534,0.4787989792208243,0.6270165787284162,0.005855465262935621,0.8839450048749032,0.6447175672420996,0.9784679950795697
Cacna1a_8_85328017_+,0.6610700303318017,0.9805860255718168,0.7847836307190277,0.09142627168124777,0.7316539431127287,0.8410055716519003,0.9797376036697578,0.8816729879568119,0.6634340986190257,0.9483148569549398,0.9981638799243768,0.44651566991174085,0.7423668821595707,0.993214868554704,0.8154107516609418,0.9533856544592362,0.9616061765236935,0.4893582647751487,0.6214037531096586,0.49514236159676467,0.9722572504854804,0.839304839645638,0.6224053802920824,0.4960684162328668,0.6422056294935609,0.6678647626937632,0.9283169835393044,0.573472259273138,0.9031667142663747,0.03078568729331311,0.7591656874536803,0.8787149339899164,0.8698489248920244
Cacna1e_1_154362454_-,0.6303418641279195,0.8939244826979578,1.0,0.500469226397208,0.9099932920294764,0.8626972868862396,0.7564265383684041,0.8251169755736847,0.7006093884152476,0.9696162066700706,0.8793638913138551,0.9382404229668219,0.8538842395800298,0.36064905906369565,0.40674739609671223,0.6592145464534919,0.5606546320725267,0.5068471225848996,0.9575668928334352,0.5143411796520103,0.49686376299997104,0.9644296510870575,0.949858654777478,0.9579025504522757,0.057612768329093005,0.043207715525794534,0.6415397215274383,0.9514959061389829,0.9246516128669385,0.27991705544391393,0.657663835831656,0.6519813127401846,0.6315759842880637
Gabra4_5_71795619_-,0.6727265778784655,0.5917483565120486,0.5919474346648259,0.9067775244685237,0.34389408832083324,0.3648369415785827,0.8384576319214697,0.5951698556495453,1.0,0.28945781127325787,0.7862761689238411,0.9841745878483542,0.9509069328603775,0.8094345296485641,0.9347738690816314,0.9274721210537943,0.6683045398775129,0.9833262818159169,0.8871873315885852,0.987107656432974,0.8768605126749301,0.6815472345317448,0.944630647055909,0.8971576001959088,0.9603615979175295,0.9754213062597294,0.9340287002330364,0.9011350801182632,0.8383175306679945,0.0369934896676293,0.7752805223065025,0.8165950180359715,0.9638242004926599
Trpm2_10_77766492_-,0.994656360067784,0.8970732194033928,1.0,0.8439099736358462,0.9501356638416905,0.40847377926774914,0.9330105402689548,0.345942139052339,0.9172383864868406,0.381316136406023,0.6582293928010599,0.8023316270288435,0.47456104377557,0.9224104904131436,0.6975828060140025,0.9187025326563852,0.5958346052742635,0.8709307248631256,0.4998536913079663,0.8615782658575524,0.9282814681687843,0.6421279069321693,0.8808715724797415,0.5216365771046421,0.8369747380539558,0.7517729072281417,0.9223249250820574,0.8082603033163729,0.937189749524155,0.37194766728868883,0.3339688158606698,0.0005818037552826812,0.16485482574346957
